event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX brings ___ to the people,[],"[""well happy and satisfied""]",[],[],[],"[""solve people problems""]",[],"[""like achieve""]",[],"[""brings"", ""people""]",tst
PersonX brings ___ to the people,[],"[""grateful & appreciative.""]",[],[],[],"[""materially contribute to own community growth, well-being & progress.""]",[],"[""satisfied, proud to materially contributing to own community growth, well-being & progress.""]",[],"[""brings"", ""people""]",tst
PersonX brings ___ to the people,"[""benefit materially"", ""improve lifestlys""]",[],[],[],"[""praised"", ""thanked""]",[],[],[],[],"[""brings"", ""people""]",tst
PersonX brings ___ to the people,"[""Have better lives"", ""Grows""]",[],[],[],"[""Stops from the rich"", ""Gives to the poor""]",[],[],[],[],"[""brings"", ""people""]",tst
PersonX brings ___ to the people,"[""none""]",[],[],[],"[""is admired"", ""is called upon""]",[],[],[],[],"[""brings"", ""people""]",tst
PersonX brings ___ to the people,[],[],"[""to be thankful"", ""to put the things away which they received""]",[],[],[],"[""to decide who needs help"", ""to buy supplies""]",[],"[""to go home"", ""to unload their vehicle""]","[""brings"", ""people""]",tst
PersonX brings ___ to the people,[],[],"[""to work hard"", ""to get new jobs""]",[],[],[],"[""to build an economic policy"", ""to create jobs""]",[],"[""to see affluence"", ""to make the people well again""]","[""brings"", ""people""]",tst
PersonX brings ___ to the people,[],[],"[""none""]",[],[],[],"[""to want to help"", ""to care about people""]",[],"[""to see the people are happy"", ""to make sure everyone has everything they need""]","[""brings"", ""people""]",tst
PersonX brings ___ to the people,[],[],[],"[""kind"", ""generous""]",[],[],[],[],[],"[""brings"", ""people""]",tst
PersonX brings ___ to the people,[],[],[],"[""respected"", ""caring""]",[],[],[],[],[],"[""brings"", ""people""]",tst
PersonX brings ___ to the people,[],[],[],"[""caring"", ""helpful""]",[],[],[],[],[],"[""brings"", ""people""]",tst
PersonX starves the ___ into submission,[],"[""fearful""]",[],[],[],"[""to be the conqueror""]",[],"[""powerful""]",[],"[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,[],"[""none""]",[],[],[],"[""people nito submission""]",[],"[""happy""]",[],"[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,"[""Mane people will try to avoid the starvation."", ""Many people will fight back the punishment.""]",[],[],[],"[""It receives submissivity from a bunch of people, it means person X will not do things because other will do it for him/her."", ""Things that Person X wanted to do and was not allowed to do, will be available to be done once the submission is reached.""]",[],[],[],[],"[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,"[""have grumbling stomachs"", ""become weak in their bodies""]",[],[],[],"[""walks confidently"", ""waits expectantly""]",[],[],[],[],"[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,[],[],[],[],[],[],"[""love people"", ""attract people""]",[],[],"[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,[],[],"[""Freedom"", ""Mercy""]",[],[],[],[],[],"[""Victory"", ""To defeat the other peopkle"", ""Power""]","[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,[],[],"[""to speak out against PersonX"", ""to revolt""]",[],[],[],[],[],"[""to become king"", ""people to follow his orders""]","[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,[],[],"[""food"", ""freedom""]",[],[],[],[],[],"[""to exert his will"", ""to have an easy win""]","[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,[],[],[],"[""aggressive"", ""dominant""]",[],[],[],[],[],"[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,[],[],[],"[""evil"", ""unkind""]",[],[],[],[],[],"[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,[],[],[],"[""cutthroat"", ""dangerous""]",[],[],[],[],[],"[""starves"", ""submission""]",tst
PersonX starves the ___ into submission,[],[],[],"[""cruel"", ""efficient""]",[],[],[],[],[],"[""starves"", ""submission""]",tst
PersonX convinces every ___,[],"[""persuaded""]",[],[],[],"[""to persuade""]",[],"[""accomplished""]",[],"[""convinces"", ""every""]",tst
PersonX convinces every ___,[],"[""none""]",[],[],[],"[""to be nice""]",[],"[""good""]",[],"[""convinces"", ""every""]",tst
PersonX convinces every ___,"[""receive new skills"", ""receive new knowledge""]",[],[],[],"[""gets confident in his skills"", ""receives praise for his work""]",[],[],[],[],"[""convinces"", ""every""]",tst
PersonX convinces every ___,[],[],"[""none""]",[],[],[],"[""to have the facts"", ""to be able to talk sweetly""]",[],"[""to take everyone's money and run"", ""to tell everyone that peace is the best""]","[""convinces"", ""every""]",tst
PersonX convinces every ___,[],[],"[""to ask questions"", ""to digest the information""]",[],[],[],"[""to talk to someone"", ""to think of an argument""]",[],"[""to carry out something"", ""to continue talking"", ""to part ways""]","[""convinces"", ""every""]",tst
PersonX convinces every ___,[],[],"[""none""]",[],[],[],"[""none""]",[],"[""to be seen as a leader"", ""to persuade""]","[""convinces"", ""every""]",tst
PersonX convinces every ___,[],[],[],"[""Decisive"", ""Persuasive""]",[],[],[],[],[],"[""convinces"", ""every""]",tst
PersonX convinces every ___,[],[],[],"[""persuasive"", ""influential""]",[],[],[],[],[],"[""convinces"", ""every""]",tst
PersonX convinces every ___,[],[],[],"[""convincing"", ""smart""]",[],[],[],[],[],"[""convinces"", ""every""]",tst
PersonX obtains a ___ as possible,[],"[""none""]",[],[],[],"[""help from someone because want to go tour""]",[],"[""poor"", ""sad""]",[],"[""obtains"", ""possible""]",tst
PersonX obtains a ___ as possible,"[""none""]",[],[],[],"[""has hope"", ""gets a verdict""]",[],[],[],[],"[""obtains"", ""possible""]",tst
PersonX obtains a ___ as possible,"[""none""]",[],[],[],"[""none""]",[],[],[],[],"[""obtains"", ""possible""]",tst
PersonX obtains a ___ as possible,"[""none""]",[],[],[],"[""none""]",[],[],[],[],"[""obtains"", ""possible""]",tst
PersonX obtains a ___ as possible,[],[],"[""none""]",[],[],[],"[""to have looked for it"", ""to have been asked to read it"", ""to have a test on it""]",[],"[""to ask questions about it"", ""to sell it"", ""to study it""]","[""obtains"", ""possible""]",tst
PersonX obtains a ___ as possible,[],[],"[""none""]",[],[],[],"[""none""]",[],"[""to take possession"", ""to show off""]","[""obtains"", ""possible""]",tst
PersonX obtains a ___ as possible,[],[],"[""none""]",[],[],[],"[""to find a art museum"", ""pay for a picture""]",[],"[""to paste the picture in the home"", ""to hang the picture in the office""]","[""obtains"", ""possible""]",tst
PersonX obtains a ___ as possible,[],[],[],"[""demanding"", ""competative""]",[],[],[],[],[],"[""obtains"", ""possible""]",tst
PersonX obtains a ___ as possible,[],[],[],"[""Quick"", ""Proactive""]",[],[],[],[],[],"[""obtains"", ""possible""]",tst
PersonX obtains a ___ as possible,[],[],[],"[""resourceful"", ""careful""]",[],[],[],[],[],"[""obtains"", ""possible""]",tst
PersonX persuades the ___ to allow,[],"[""thankful"", ""better""]",[],[],[],"[""another person to give permission""]",[],"[""relieved"", ""happy""]",[],"[""persuades"", ""allow""]",tst
PersonX persuades the ___ to allow,"[""none""]",[],[],[],"[""none""]",[],[],[],[],"[""persuades"", ""allow""]",tst
PersonX persuades the ___ to allow,"[""none""]",[],[],[],"[""Thanked"", ""Rewarded""]",[],[],[],[],"[""persuades"", ""allow""]",tst
PersonX persuades the ___ to allow,[],[],"[""none""]",[],[],[],"[""to know what they want"", ""to have a plan""]",[],"[""to achieve their goal"", ""to get their way""]","[""persuades"", ""allow""]",tst
